Plaza,Description,Agency
15,Woodbury Toll,NYS Thruway
16H,Harriman,NYS Thruway
16W,Harriman,NYS Thruway
17,Newburgh,NYS Thruway
18,New Paltz,NYS Thruway
19,Kingston,NYS Thruway
20E,Saugerties,NYS Thruway
20W,Saugerties,NYS Thruway
21,Catskill,NYS Thruway
21B,Coxsackie,NYS Thruway
22,Selkirk,NYS Thruway
23,Albany (I-787),NYS Thruway
24,Albany (I-87),NYS Thruway
25,Schenectady (I-890),NYS Thruway
25A,Schenectady (I-88),NYS Thruway
26,Schenectady (I-890 & Rt 5s),NYS Thruway
27,Amsterdam,NYS Thruway
28,Fulltonville,NYS Thruway
29,Canajoharie,NYS Thruway
29A,Little Falls,NYS Thruway
30,Herkimer,NYS Thruway
31,Utica,NYS Thruway
32,Westmoreland,NYS Thruway
33,Verona,NYS Thruway
34,Canastota,NYS Thruway
34A,Syracuse (I-481),NYS Thruway
35,Syracuse (Rt 298),NYS Thruway
36,Syracuse ((I-81),NYS Thruway
37,Syracuse (Electronics Pkwy),NYS Thruway
38,Syracuse (Liverpool),NYS Thruway
39,Syracuse (I-690),NYS Thruway
40,Weedsport,NYS Thruway
41,Waterloo,NYS Thruway
42,Geneva,NYS Thruway
43,Manchester,NYS Thruway
44,Canandaigua,NYS Thruway
45,Rochester (I-490),NYS Thruway
46,Rochester (I-390),NYS Thruway
47,Rochester (I-490),NYS Thruway
48,Batavia,NYS Thruway
48A,Pembroke,NYS Thruway
49,Depew,NYS Thruway
50,Williamsville Toll,NYS Thruway
55,Lackawanna Toll,NYS Thruway
56,Blasdell,NYS Thruway
57,Hamburg,NYS Thruway
57A,Eden,NYS Thruway
58,Silver Creek,NYS Thruway
59,Dunkirk,NYS Thruway
60,Westfield,NYS Thruway
61,Ripley Toll,NYS Thruway
91,RVW Rip Van Winkle Br,NYS Bridge Authority
92,KRB Kingston-Rhinecliff Br,NYS Bridge Authority
93,MHB Mid-Hudson Br,NYS Bridge Authority
94,NBB Newburgh-Beacon Br,NYS Bridge Authority
95,BMB Bear Mountain Br,NYS Bridge Authority
B1,Albany (I-90W),NYS Thruway
B2,Taconic Parkway,NYS Thruway
B3,Canaan Toll,NYS Thruway
BB,Bayonne Br,Port Authority NY/NJ
HCT,Hugh L. Carey Tunnel,MTA Bridges/Tunnels
BR,Black Rock Toll,NYS Thruway
BWB,Bronx Whitestone Br,MTA Bridges/Tunnels
CBB,Cross Bay Br,MTA Bridges/Tunnels
CL,City Line Toll,NYS Thruway
GB,Goethals Br,Port Authority NY/NJ
GIN,North Grand Island Br,NYS Thruway
GIS,South Grand Island Br,NYS Thruway
GWL,Geo Washington Br – Lower Level,Port Authority NY/NJ
GWP,Geo Washington Br – Palisades,Port Authority NY/NJ
GWU,Geo Washington Br – Upper Level,Port Authority NY/NJ
HA,Harriman Toll,NYS Thruway
HHB,Henry Hudson Br,MTA Bridges/Tunnels
HT,Holland Tunnel,Port Authority NY/NJ
LT,Lincoln Tunnel,Port Authority NY/NJ
MPB,Marine Pkwy Br,MTA Bridges/Tunnels
NR,New Rochelle Toll,NYS Thruway
OBX,Outerbridge Crossing,Port Authority NY/NJ
PB4,Peace Bridge,Buffalo and Fort Erie
Public Bridge Authority
QMT,Queens Midtown Tunnel,MTA Bridges/Tunnels
RKB,Robert F. Kennedy Br – Bronx,MTA Bridges/Tunnels
RKM,Robert F. Kennedy Br – Manhattan,MTA Bridges/Tunnels
SV,Spring Valley Toll,NYS Thruway
TNB,Throgs Neck Br,MTA Bridges/Tunnels
TZ,Tappan Zee Br,NYS Thruway
VNB,Verrazano Narrows Br,MTA Bridges/Tunnels
YK,Yonkers Toll,NYS Thruway
